1,475,510
2,271,510
3,385,510
4,297,510
5,329,510
6,347,510
7,377,510
1,262,384
2,220,384
3,263,384
4,219,384
5,219,384
6,275,384
7,219,384
1,256,460
2,377,460
3,320,460
4,346,460
5,377,460
6,335,460
7,304,460
1,250,374
2,274,374
3,269,374
4,321,374
5,286,374
6,246,374
7,235,374
1,319,459
2,436,459
3,422,459
4,412,459
5,414,459
6,245,459
7,346,459
1,228,369
2,228,369
3,241,369
4,241,369
5,288,369
6,244,369
7,288,369
1,276,406
2,243,406
3,299,406
4,275,406
5,311,406
6,344,406
7,384,406
1,261,400
2,282,400
3,309,400
4,255,400
5,260,400
6,258,400
7,320,400
1,279,339
2,218,339
3,215,339
4,224,339
5,271,339
6,216,339
7,239,339
